106    1464815343.524163, 17.900000, 0.095994, VALID
107    1464815343.537424, 17.920000, 0.087268, VALID
108    1464815343.550006, 17.900000, 0.095994, VALID
109    1464815343.565058, 17.940001, 0.087268, VALID
110    1464815343.578065, 17.940001, 0.095994, VALID
111    1464815343.591224, 17.920000, 0.087268, VALID
112    1464815343.604249, 17.900000, 0.095994, VALID
113    1464815343.618033, 17.940001, 0.087268, VALID
114    1464815343.631051, 17.910000, 0.095994, VALID
115    1464815343.643126, 17.910000, 0.087268, VALID
116    1464815343.657083, 17.920000, 0.095994, FILTERED
117    1464815343.672097, 17.940001, 0.087268, VALID
118    1464815343.684048, 17.920000, 0.095994, VALID
119    1464815343.698575, 17.949999, 0.087268, VALID
120    1464815343.711101, 17.900000, 0.095994, VALID
121    1464815343.724128, 17.920000, 0.087268, VALID
122    1464815343.737095, 17.900000, 0.095994, VALID
123    1464815343.751095, 17.949999, 0.069814, VALID
124    1464815343.767046, 17.920000, 0.095994, VALID
125    1464815343.777031, 17.920000, 0.087268, VALID
126    1464815343.792081, 17.920000, 0.095994, VALID
127    1464815343.804643, 17.919091, 0.087268, FILTERED
128    1464815343.816629, 17.910000, 0.095994, VALID
129    1464815343.832678, 17.920000, 0.087268, VALID
130    1464815343.844573, 17.910000, 0.095994, VALID
131    1464815343.857655, 17.910000, 0.087268, VALID
132    1464815343.870654, 17.910000, 0.095994, VALID
133    1464815343.885566, 17.940001, 0.087268, VALID
134    1464815343.898626, 17.910000, 0.095994, VALID
135    1464815343.911616, 17.940001, 0.087268, VALID
136    1464815343.923618, 17.900000, 0.095994, VALID
137    1464815343.938580, 17.940001, 0.087268, VALID
138    1464815343.950600, 17.920909, 0.095994, FILTERED
139    1464815343.964572, 17.940001, 0.087268, VALID
140    1464815343.978546, 17.910000, 0.095994, VALID
141    1464815343.990541, 17.920000, 0.087268, VALID
142    1464815344.004638, 17.920000, 0.095994, VALID
143    1464815344.017531, 17.920000, 0.087268, VALID
144    1464815344.031864, 17.910000, 0.095994, VALID
145    1464815344.044662, 17.949999, 0.087268, VALID
146    1464815344.057988, 17.910000, 0.095994, VALID
147    1464815344.070578, 17.920000, 0.087268, VALID
148    1464815344.084522, 17.910000, 0.095994, VALID
149    1464815344.097446, 17.916363, 0.087268, FILTERED
150    1464815344.110556, 17.900000, 0.095994, VALID
151    1464815344.124501, 17.910000, 0.087268, VALID
152    1464815344.138678, 17.900000, 0.095994, VALID
153    1464815344.151934, 17.940001, 0.087268, VALID
154    1464815344.165562, 17.910000, 0.095994, VALID
155    1464815344.177523, 17.910000, 0.087268, VALID
156    1464815344.191550, 17.920000, 0.095994, VALID
157    1464815344.204680, 17.940001, 0.087268, VALID
158    1464815344.218528, 17.900000, 0.095994, VALID
159    1464815344.231489, 17.920000, 0.087268, VALID
160    1464815344.244666, 17.917273, 0.095994, FILTERED
161    1464815344.257585, 17.920000, 0.087268, VALID
162    1464815344.270533, 17.910000, 0.095994, VALID
163    1464815344.284755, 17.940001, 0.087268, VALID
164    1464815344.299554, 17.910000, 0.095994, VALID
165    1464815344.312576, 17.920000, 0.087268, VALID
166    1464815344.325593, 17.900000, 0.095994, VALID
167    1464815344.337625, 17.920000, 0.087268, VALID
168    1464815344.352587, 17.900000, 0.095994, VALID
169    1464815344.364541, 17.910000, 0.087268, VALID
170    1464815344.378763, 17.900000, 0.095994, VALID
171    1464815344.391593, 17.915454, 0.087268, FILTERED
172    1464815344.404582, 17.889999, 0.095994, VALID
173    1464815344.417764, 17.949999, 0.069814, VALID
174    1464815344.431730, 17.920000, 0.095994, VALID
175    1464815344.444598, 17.920000, 0.087268, VALID
176    1464815344.459809, 17.920000, 0.095994, VALID
177    1464815344.471705, 17.940001, 0.087268, VALID
178    1464815344.486259, 17.900000, 0.095994, VALID
179    1464815344.497827, 17.920000, 0.087268, VALID
180    1464815344.510788, 17.910000, 0.095994, VALID
181    1464815344.524746, 17.920000, 0.087268, VALID
182    1464815344.537745, 17.915455, 0.095994, FILTERED
183    1464815344.551799, 17.920000, 0.087268, VALID
184    1464815344.564819, 17.900000, 0.095994, VALID
185    1464815344.578745, 17.920000, 0.087268, VALID
186    1464815344.592273, 17.920000, 0.095994, VALID
187    1464815344.604747, 17.920000, 0.087268, VALID
188    1464815344.618815, 17.900000, 0.095994, VALID
189    1464815344.631726, 17.920000, 0.087268, VALID
190    1464815344.644714, 17.910000, 0.095994, VALID
191    1464815344.658837, 17.920000, 0.087268, VALID
192    1464815344.671829, 17.910000, 0.095994, VALID
193    1464815344.685713, 17.912727, 0.087268, FILTERED
194    1464815344.698818, 17.900000, 0.095994, VALID
195    1464815344.712825, 17.920000, 0.087268, VALID
196    1464815344.725747, 17.910000, 0.095994, VALID
197    1464815344.740612, 17.920000, 0.087268, VALID
198    1464815344.751637, 17.910000, 0.095994, VALID
199    1464815344.764669, 17.949999, 0.087268, VALID
200    1464815344.779697, 17.920000, 0.095994, VALID
201    1464815344.791575, 17.920000, 0.087268, VALID
202    1464815344.804667, 17.889999, 0.095994, VALID
203    1464815344.818606, 17.920000, 0.087268, VALID
204    1464815344.831611, 17.915454, 0.095994, FILTERED
205    1464815344.844597, 17.920000, 0.087268, VALID
206    1464815344.858778, 17.910000, 0.095994, VALID
207    1464815344.870615, 17.920000, 0.087268, VALID
208    1464815344.886647, 17.889999, 0.095994, VALID
209    1464815344.898609, 17.920000, 0.087268, VALID
210    1464815344.911548, 17.900000, 0.095994, VALID
211    1464815344.925782, 17.920000, 0.087268, VALID
212    1464815344.938629, 17.910000, 0.095994, VALID
213    1464815344.950613, 17.920000, 0.087268, VALID
214    1464815344.964653, 17.900000, 0.095994, VALID
215    1464815344.978522, 17.911818, 0.087268, FILTERED
216    1464815344.990631, 17.910000, 0.095994, VALID
217    1464815345.007708, 17.920000, 0.087268, VALID
218    1464815345.018674, 17.900000, 0.095994, VALID
219    1464815345.031776, 17.940001, 0.087268, VALID
220    1464815345.044951, 17.889999, 0.095994, VALID
221    1464815345.057572, 17.920000, 0.087268, VALID
222    1464815345.071736, 17.900000, 0.095994, VALID
223    1464815345.085872, 17.920000, 0.087268, VALID
224    1464815345.098805, 17.910000, 0.095994, VALID
225    1464815345.110712, 17.920000, 0.087268, VALID
226    1464815345.123855, 17.918182, 0.095994, FILTERED
227    1464815345.139058, 17.940001, 0.087268, VALID
228    1464815345.151824, 17.900000, 0.095994, VALID
229    1464815345.164816, 17.940001, 0.087268, VALID
230    1464815345.177930, 17.920000, 0.095994, VALID
231    1464815345.191002, 17.920000, 0.087268, VALID
232    1464815345.204831, 17.910000, 0.095994, VALID
233    1464815345.218803, 17.900000, 0.087268, VALID
234    1464815345.231899, 17.900000, 0.095994, VALID
235    1464815345.245064, 17.910000, 0.087268, VALID
236    1464815345.258878, 17.920000, 0.078541, VALID
237    1464815345.271026, 17.912727, 0.087268, FILTERED
238    1464815345.284832, 17.900000, 0.095994, VALID
239    1464815345.298735, 17.920000, 0.087268, VALID
240    1464815345.310839, 17.920000, 0.095994, VALID
241    1464815345.325656, 17.940001, 0.087268, VALID
242    1464815345.338803, 17.900000, 0.095994, VALID
243    1464815345.351535, 17.920000, 0.087268, VALID
244    1464815345.364606, 17.910000, 0.095994, VALID
245    1464815345.377565, 17.920000, 0.087268, VALID
246    1464815345.390684, 17.900000, 0.095994, VALID
247    1464815345.404604, 17.910000, 0.087268, VALID
248    1464815345.418750, 17.913636, 0.095994, FILTERED
249    1464815345.431840, 17.920000, 0.087268, VALID
250    1464815345.445751, 17.889999, 0.095994, VALID
251    1464815345.458578, 17.949999, 0.069814, VALID
252    1464815345.471485, 17.900000, 0.095994, VALID
253    1464815345.484645, 17.920000, 0.087268, VALID
254    1464815345.497657, 17.900000, 0.095994, VALID
255    1464815345.511495, 17.900000, 0.087268, VALID
256    1464815345.525702, 17.910000, 0.095994, VALID
257    1464815345.539589, 17.910000, 0.087268, VALID
258    1464815345.552655, 17.910000, 0.095994, VALID
259    1464815345.564596, 17.909091, 0.087268, FILTERED
260    1464815345.577599, 17.879999, 0.095994, VALID
261    1464815345.592615, 17.940001, 0.087268, VALID
262    1464815345.604574, 17.900000, 0.095994, VALID
263    1464815345.617553, 17.910000, 0.087268, VALID
264    1464815345.631545, 17.920000, 0.095994, VALID
265    1464815345.644649, 17.910000, 0.087268, VALID
266    1464815345.657619, 17.900000, 0.095994, VALID
